Order,"HSK Level-Order",Word,Pronunciation,Definition,Score
1,3-1,阿姨,a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],0
2,3-2,啊,a5,"modal particle ending sentence, showing affirmation, approval, or consent",0
3,3-3,矮,ai3,low; short (in length),0
4,1-1,爱,ai4,to love; affection; to be fond of; to like,0
5,3-5,爱好,ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],0
6,3-6,安静,an1 jing4,quiet; peaceful; calm,0
7,1-2,八,ba1,eight; 8,0
8,3-8,把,ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,0
9,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",0
10,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,0
11,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,0
12,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,0
13,3-13,班,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],0
